trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
237,False,"{'a': 0.8, 'e': 0.029013327082197053}",20,9,17.001308980699733,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.8, 'e': 0.028581374916281214}",25,13,25.89927241300753,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.8, 'e': 0.028155853680300106}",25,20,8.58965087699048,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.8, 'e': 0.027736667630180466}",25,14,23.49258116548718,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.8, 'e': 0.02732372244729257}",25,15,19.31907488920287,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.8, 'e': 0.026916925217228122}",20,14,11.39400757196342,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.8, 'e': 0.02651618440889418}",25,18,15.117320960879848,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.8, 'e': 0.026121409853918233}",30,12,35.40179285036293,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.8, 'e': 0.025732512726359954}",20,13,13.334833716335591,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.8, 'e': 0.025349405522724945}",25,16,13.009618632416457,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.8, 'e': 0.024972002042276155}",25,3,38.4773631185376,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.8, 'e': 0.024600217367638302}",30,22,14.09374534685194,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.8, 'e': 0.024233967845691123}",20,8,21.953187893635047,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.8, 'e': 0.023873171068747034}",25,16,18.305528195744813,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.8, 'e': 0.023517745856009107}",20,8,22.085578472891225,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.8, 'e': 0.02316761223530503}",30,18,20.533001656161453,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.8, 'e': 0.02282269142509298}",20,10,17.401560582043654,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.8, 'e': 0.02248290581673553}",20,12,12.615212963301072,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.8, 'e': 0.022148178957037315}",20,7,21.88412592157048,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.8, 'e': 0.021818435531042773}",20,13,12.28302246754368,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.8, 'e': 0.021493601345089923}",30,17,26.698744325567645,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.8, 'e': 0.02117360331011653}",20,10,16.316436865242192,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.8, 'e': 0.020858369425214726}",20,14,11.37156875248087,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.8, 'e': 0.020547828761430496}",30,22,13.138870823004703,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.8, 'e': 0.02024191144580439}",20,0,31.286862209084017,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
262,False,"{'a': 0.8, 'e': 0.019940548645649796}",20,14,11.497952286327006,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.8, 'e': 0.0196436725530653}",25,12,12.517965486954312,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.8, 'e': 0.019351216369677602}",25,20,10.82613267360968,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.8, 'e': 0.019063114291611637}",25,7,28.005512630523782,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.8, 'e': 0.01877930149468441}",20,10,16.17642556988605,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.8, 'e': 0.01849971411981925}",25,20,10.807688510181006,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.8, 'e': 0.018224289258677303}",25,18,11.042764939970697,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.8, 'e': 0.017952964939502866}",20,9,22.32425452423204,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.8, 'e': 0.017685680113179437}",20,0,28.903085831222857,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
271,False,"{'a': 0.8, 'e': 0.017422374639493515}",20,13,13.652985441832007,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.8, 'e': 0.017162989273602672}",25,15,19.513258114881957,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.8, 'e': 0.01690746565270528}",20,8,24.452611421301995,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.8, 'e': 0.016655746282908664}",30,8,39.36732100936205,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.8, 'e': 0.01640777452629266}",20,9,18.858417227621807,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.8, 'e': 0.016163494588165874}",25,11,26.78405278383498,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.8, 'e': 0.015922851504511698}",25,11,29.829692718183324,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.8, 'e': 0.015685791129621054}",20,12,15.72533448256147,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.8, 'e': 0.015452260123909515}",30,8,35.68961215099734,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.8, 'e': 0.015222205941915569}",20,14,11.585880239180446,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.8, 'e': 0.014995576820477703}",20,11,19.109279969264346,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.8, 'e': 0.014772321767087523}",25,9,29.255089437589675,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.8, 'e': 0.014552390548416136}",30,15,29.518049238127116,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
