,Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Market_Cap,Holiday,Weekend,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6,wd_7,season_1,season_2,season_3,season_4,N_tran,Diff,Block_Size,Mi_rev,Cost_tran
579,2017-05-09,1723.89,1833.49,1716.3,1755.36,1167920000.0,28649119972,1,0,0,1,0,0,0,0,0,0,1,0,0,365096.0,521974519553.0,0.968144155556,4062173.2011,11.53276529
580,2017-05-08,1596.92,1723.35,1596.92,1723.35,1340320000.0,28123369330,0,0,1,0,0,0,0,0,0,0,1,0,0,316011.0,521974519553.0,0.964836443114,3505619.68821,11.492055045999999
581,2017-05-07,1579.47,1596.72,1559.76,1596.71,1080029952.0,26053077975,0,1,0,0,0,0,0,0,1,0,1,0,0,363022.0,521974519553.0,0.9649331726189999,3610789.2028,10.3014088267
582,2017-05-06,1556.81,1578.8,1542.5,1578.8,582529984.0,25757608890,0,1,0,0,0,0,0,1,0,0,1,0,0,267193.0,521974519553.0,0.9612458682170001,2779169.81696,10.7532052605
583,2017-05-05,1540.87,1618.03,1530.31,1555.45,946035968.0,25373374563,0,0,0,0,0,0,1,0,0,0,1,0,0,354737.0,521974519553.0,0.971046744048,3500746.02212,10.2346342765
584,2017-05-04,1490.72,1608.91,1490.72,1537.67,933548992.0,25080858487,0,0,0,0,0,1,0,0,0,0,1,0,0,295149.0,521974519553.0,0.995290871212,2760373.22543,9.691347141989999
585,2017-05-03,1453.78,1492.77,1447.49,1490.09,583795968.0,24301634925,0,0,0,0,1,0,0,0,0,0,1,0,0,333161.0,521974519553.0,0.9802381265819999,3149553.46759,9.796471792430001
586,2017-05-02,1421.03,1473.9,1415.69,1452.82,477337984.0,23691443738,0,0,0,1,0,0,0,0,0,0,1,0,0,294786.0,521974519553.0,0.977420893333,2878277.9821900004,10.108887545
587,2017-05-01,1348.3,1434.32,1348.3,1421.6,713624000.0,23179524919,1,0,1,0,0,0,0,0,0,0,1,0,0,281489.0,521974519553.0,0.971893516556,2720215.54725,10.0304456894
588,2017-04-30,1321.87,1347.91,1314.92,1347.89,413115008.0,21975104909,0,1,0,0,0,0,0,0,1,0,1,0,0,341319.0,521974519553.0,0.971570312139,3119178.52112,9.46079590275
